2025-11-24 22:07:28 | INFO     | YahooRSI | Client object created successfully
2025-11-24 22:07:30 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:07:30.400361", "type": "DATA_DUMP", "symbol": "/NQ", "data": {"period": 0, "interval": "1m", "data_points_count": 40000, "fetch_duration": 1.2383003234863281, "latest_price": 24922.5}}
2025-11-24 22:11:12 | INFO     | YahooRSI | Attempting authentication with Schwab API...
2025-11-24 22:11:13 | INFO     | YahooRSI | Client object created successfully
2025-11-24 22:11:15 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:11:15.192444", "type": "DATA_DUMP", "symbol": "/NQ", "data": {"period": 59107.0, "interval": "1m", "data_points_count": 40000, "fetch_duration": 1.4771549701690674, "latest_price": 24937.75}}
2025-11-24 22:15:16 | INFO     | YahooRSI | Attempting authentication with Schwab API...
2025-11-24 22:15:17 | INFO     | YahooRSI | Client object created successfully
2025-11-24 22:15:18 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:15:18.764418", "type": "DATA_DUMP", "symbol": "/NQ", "data": {"period": 59107.0, "interval": "1m", "data_points_count": 40000, "fetch_duration": 1.4044499397277832, "latest_price": 24926.5}}
2025-11-24 22:15:18 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:15:18.765418", "type": "PERFORMANCE", "operation": "DATA_FETCH", "duration_seconds": 1.4044499397277832, "success": true}
2025-11-24 22:15:18 | INFO     | YahooRSI | ✅ Fetched 3 data points for /NQ in 1.40s
2025-11-24 22:16:39 | INFO     | YahooRSI | Attempting authentication with Schwab API...
2025-11-24 22:16:40 | INFO     | YahooRSI | Client object created successfully
2025-11-24 22:16:41 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:16:41.640252", "type": "DATA_DUMP", "symbol": "/NQ", "data": {"period": 59107.0, "interval": "1m", "data_points_count": 40000, "fetch_duration": 1.3107199668884277, "latest_price": 24921.5}}
2025-11-24 22:16:41 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:16:41.641252", "type": "PERFORMANCE", "operation": "DATA_FETCH", "duration_seconds": 1.3107199668884277, "success": true}
2025-11-24 22:16:41 | INFO     | YahooRSI | ✅ Fetched 40000 data points for /NQ in 1.31s
2025-11-24 22:18:41 | INFO     | YahooRSI | Attempting authentication with Schwab API...
2025-11-24 22:18:42 | INFO     | YahooRSI | Client object created successfully
2025-11-24 22:18:43 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:18:43.583422", "type": "DATA_DUMP", "symbol": "/NQ", "data": {"period": 59107.0, "interval": "1m", "data_points_count": 40000, "fetch_duration": 1.3781659603118896, "latest_price": 24920.0}}
2025-11-24 22:18:43 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:18:43.584247", "type": "PERFORMANCE", "operation": "DATA_FETCH", "duration_seconds": 1.3781659603118896, "success": true}
